reports, acn, state, facility_website, main_activities, facility_id, postcode, abn, jurisdiction_code, jurisdiction_facility_id, primary_anzsic_class_code, first_report_year, facility_name, suburb, primary_anzsic_class_name, longitude, latitude, street_address, registered_business_name
1,null,"QLD",null,"Pig Farming","512842","4601","35475704607","QLD","Q064ILP006","0192","2003/2004","Wyrella","Tansey","Pig Farming",152.075556,-26.032778,"98 Ahern Road","MCINTOSH HOLDINGS"
10,null,"QLD",null,"Pig farming","512882","4309","16451323057","QLD","Q064ILP012","0192","2003/2004","Woodlawn","Kalbar","Pig Farming",152.595883,-27.95005,"230 Muller Road","NEUENDORF FARMING"
6,"008784263","NT",null,"Pig rearing (farrow to pork)","496398","0828","93234413233","NT","NT301","0192","1999/2000","Darwin Piggery","Berrimah","Pig Farming",130.976674,-12.455298,"35 Glendower Road","ORD RIVER UNIT TRUST"
19,"004117828","NSW","http://www.orica.com","Water Treatment Recycling","484536","2036","99004117828","NSW","138","1899","1998/1999","Groundwater Treatment Plant","Matraville","Other Basic Chemical Product Manufacturing n.e.c.",151.220876,-33.956085,"16-20 Beauchamp Road","ORICA AUSTRALIA PTY LTD"
9,null,"SA",null,"Pig farming","558516","5268","90648600698","SA","SA0553","0192","2008/2009","Bordervale Piggery","Bordertown","Pig Farming",140.81925,-36.34733,"37 Sullivans Road","PD & KA & DP GROSSER"
5,null,"NT",null,"power generation\r\n","593810","0800","15947352360","NT","NT517","2611","2012/2013","KINTORE POWER STATION","Kintore ","Fossil Fuel Electricity Generation",129.387687,-23.272598,"Lot 2","POWER & WATER CORP"
9,null,"SA",null,"Broiler Chicken Farm","520792","5153","82181849551","SA","SA0534","0171","2003/2004","Rachana Lodge","Echunga","Poultry Farming (Meat)",138.767222,-35.138889,"530 Battunga Road","PR & RM ACTON T/AS ACTON DEVELOPMENTS"
2,null,"VIC",null,"Piggery","536472","3620","91436137492","VIC","00028012","0192","2005/2006","SHEPHERD, WL & MN","Kyabram","Pig Farming",145.072788,-36.370927,"540 ANDREWS RD","SHEPHERD, WL & MN"
1,"130618683","TAS","http://www.shreeminerals.com","Mining of Iron Ore","605690","7330",null,"TAS","Tas 516","0801","2013/2014","Nelson Bay River Magnetite Mine","Temma","Iron Ore Mining",144.749422,-41.158108,"Temma Rd","SHREE MINERALS LTD"
6,null,"QLD",null,"Meat Chicken Facility","514012","4125","58077869473","QLD","Q086ILB045","0171","2004/2005","Park Ridge Logan City Council","Park Ridge","Poultry Farming (Meat)",153.047222,-27.700833,"77 Park Ridge Road","SINGH SAMRA PTY LTD"
16,"002902650","VIC","http://www.suez.com.au","Landfilling","534120","3175","70002902650","VIC","00017651","2921","2001/2002","Taylors Rd Landfill","Dandenong South","Waste Treatment and Disposal Services",145.232587,-38.043503,"890 TAYLORS RD","SITA AUSTRALIA PTY LTD"
1,null,"QLD",null,"Pig Farming","512912","4403",null,"QLD","Q064ILP020","0192","2003/2004","Wongalea","Brymaroo","Pig Farming",151.562778,-27.118333,"Wonga Plains Road","T & J K SINGH"
19,"119063900","QLD","www.stanwell.com","Coal mining","502438","4615","55119063900","QLD","Q020PAC002","0600","1998/1999","Meandu Mine","Nanango","Coal Mining",151.90199,-26.8055,"Nobby Smith Way","TEC COAL PTY LTD"
4,null,"VIC",null,"Hospital","588936","3052","73802706972","VIC","00030537","8401","2011/2012","Royal Park Campus","Parkville","Hospitals (Except Psychiatric Hospitals)",144.948,-37.779,"34-54 POPLAR RD","THE ROYAL MELBOURNE HOSPITAL"
7,null,"WA","http://www.watercorporation.com.au","Wastewater treatment","579820","6211","28003434917","WA","WA1276","2812","2010/2011","Caddadup WWTP","Dawesville","Sewerage and Drainage Services",115.631447,-32.617003,"Lot 1955 Old Coast Rd","WATER CORPORATION"
11,null,"NSW",null,"Feedlot","484102","2400","42162249498","NSW","1111","0143","2006/2007","Welcannah Feedlot","Moree","Beef Cattle Feedlots (Specialised)",149.929453,-29.63686,"Halls Creek Burrington Road","WELCANNAH FEEDLOT PTY LTD"
4,"009759746","QLD",null,"Poultry Rearing","596648","4514","48009759746","QLD","Q086ILB097","0171","2012/2013","Rearing Farm RAB","Stanmore","Poultry Farming (Meat)",152.783333,-26.874444,"17 Nomnus Road","WOODLANDS ENTERPRISES PTY LTD"
1,"005482986","WA",null,"Oil and Gas Extraction","558238","6714","63005482986","WA","WA1117","0700","2008/2009","Bellatrix-1","Karratha","Oil and Gas Extraction",114.979967,-19.820883,"Offshore, 220km NW of Karratha","WOODSIDE ENERGY LTD"
11,"051932122","NSW","http://www.xstratacoal.com.au/","Black coal mining","490754","2330","18051932122","NSW","547","0600","2000/2001","Cumnock No.1 Colliery","Ravensworth","Coal Mining",150.990996,-32.40318,"Off Old New England Highway","XSTRATA COAL PTY LTD"
5,null,"QLD",null,"Pig Farming","512822","4880","23315606573","QLD","Q064ILP004","0192","2003/2004","Glenley","Mareeba","Pig Farming",145.371389,-16.993611,"\"Glenley\"","\"GLENLEY\""
15,"147157373","SA","http://www.1847wines.com.au","WINE MANUFACTURING","516654","5351","96147157373","SA","SA0152","1214","2002/2003","YALDARA ESTATE","Lyndoch","Wine and Other Alcoholic Beverage Manufacturing",138.875311,-34.576046,"Hermann Thumm Drive","1847 WINERY (SA) PTY LTD"
14,null,"WA","http://www.3oceans.com.au","WINEMAKING","545702","6280","20130004321","WA","WA0685","1214","2003/2004","3 Oceans Wine Company","Metricup","Wine and Other Alcoholic Beverage Manufacturing",115.119444,-33.814167,"CNR BUSSELL HWY & BOUNDARY ROAD","3 OCEANS WINE COMPANY PTY LTD"
16,"010317067","QLD","http://www.aaco.com.au","Beef cattle feedlot","511502","4702","86010317067","QLD","Q063AAG001","0143","2001/2002","Goonoo Feedlot","Comet","Beef Cattle Feedlots (Specialised)",148.528012,-23.757823,"Goonoo Feedlot via Comet River Rd","A A COMPANY PTY LTD"
10,"010317067","QLD",null,"Beef Cattle Feedlot and breeding station","511488","4722","86010317067","QLD","Q063AAC001","0143","2001/2002","Meteor Downs Feedlot","Springsure","Beef Cattle Feedlots (Specialised)",148.21,-24.23,"Meteor Downs","A A COMPANY PTY LTD"
9,null,"QLD",null,"Beef Cattle Feedlot","512136","4401","71973920471","QLD","Q063LAP001","0143","2003/2004","Lake Lillerie","Oakey","Beef Cattle Feedlots (Specialised)",151.659722,-27.443611,"Cooyar Road","A C PENTECOST"
5,null,"QLD",null,"Beef cattle feedlot","561772","4419","64318120128","QLD","Q063WAR001","0143","2008/2009","Warrigal Hills","Wandoan","Beef Cattle Feedlots (Specialised)",149.990591666,-26.112527777,"\"Warrigal Hills\"","A J & V M THORNE"
4,"070956722","QLD",null,"Beef Cattle Feedlot","512478","4401","29070956722","QLD","Q063WAB001","0143","2003/2004","Wahroonga","Oakey","Beef Cattle Feedlots (Specialised)",151.654722,-27.440556,"Wahroonga M/S 222","A L & A K BOSSE"
1,"004471523","VIC",null,"Container reconditioning","526560","3061","46004471523","VIC","00004236","2921","2003/2004","Butler Campbellfield","Campbellfield","Waste Treatment and Disposal Services",144.961186,-37.679539,"61 PAULSON RD","A T BUTLER P/L"
6,null,"QLD",null,"Meat Chicken Facility","513780","4207","59662535335","QLD","Q086ILB019","0171","2003/2004","Ashville","Buccan","Poultry Farming (Meat)",153.139722,-27.746667,"123 Hein Road","A.E. ASHCROFT"
3,null,"QLD",null,"Feedlot","562354","4610","88914388754","QLD","Q063CRA001","0143","2010/2011","Glenvillan Feedlot","Kingaroy","Beef Cattle Feedlots (Specialised)",151.685063888,-26.590430555,"226 Mannuem Road","A.G, V.L & J.A CRAWFORD"
1,null,"WA",null,"Cattle Feedlot","546204","6311","69621275416","WA","WA0751","0143","2004/2005","MELCHIORRE FEEDLOT&#xd;","Cuballing","Beef Cattle Feedlots (Specialised)",117.014722,-32.861111,"14 Mile Brook Road","A.J MELCHIORRE & C MELCHIORRE & J MELCHIORRE & K.J MELCHIORRE & R.D MELCHIORRE"
10,"004476519","VIC","http://www.cleanaway.com.au","Landfill","549268","3169","62004476519","VIC","00022863","2921","2007/2008","DEALS ROAD LANDFILL","Clayton South","Waste Treatment and Disposal Services",145.119643,-37.956586,"CNR DEALS RD & HEATHERTON RD","A.J. BAXTER PROPRIETARY LIMITED"
15,"000058453","NSW","http://www.ajbush.com.au","Rendering/recycling of meat/poultry co-products to produce protein meals and tallow","494660","2765","94000058453","NSW","836","1111","2002/2003","A J Bush and Sons Riverstone","Riverstone","Meat Processing",150.900607,-33.66814,"1106 Windsor Road","A.J. BUSH & SONS (MANUFACTURES) PTY LTD"
14,"000058453","QLD","http://www.ajbush.com.au/manufacturers","Manufacturing of protein meals and tallow/oil from animal by-products","507468","4285","94000058453","QLD","Q033AJB001","1111","2001/2002","Bromelton Protein Recovery","Bromelton","Meat Processing",152.923608,-27.995392,"358 Sandy Creek Road","A.J. BUSH & SONS (MANUFACTURES) PTY LTD"
4,"000420299","NSW",null,"Livestock slaughtering - boning and rendering plant","494880","2703","43000420299","NSW","853","1111","2002/2003","A.J. Bush & Sons Yanco","Yanco","Meat Processing",146.410702,-34.598559,"Cudgel Street","A.J. BUSH & SONS (YANCO) PTY LTD"
8,null,"NSW",null,"Pig farming","495832","2594","99360412437","NSW","930","0192","2003/2004","Redlands Piggery Young","Young","Pig Farming",148.226971,-34.376733,"291 Rhodes Road","A.J. EDGERTON & CO"
8,null,"QLD",null,"Free range egg production and pullet rearing","514244","4356","30372167209","QLD","Q086ILE003","0172","2004/2005","Main Farms","Pittsworth","Poultry Farming (Eggs)",151.670556,-27.777222,"385 Felton Road","A.J. MCLEAN & CO"
9,null,"SA",null,"Piggery farrow to weaners","552936","5238","60253196428","SA","SA0467","0192","2008/2009","Finniss Park Piggery","Mannum","Pig Farming",139.262063,-34.921618,"Cnr Mannum Murray Bridge Road & Piggery Road","A.L GOSS & A.W GOSS & G.J TISS & J.M TISS"
13,null,"WA",null,"PIG FARMING","546278","6503","86822886415","WA","WA0777","0192","2004/2005","E.J. & A.R. HOWARD","Mindarra","Pig Farming",116.020278,-31.141111,"310 Wannamal West Road","A.R. & E.J. HOWARD"
4,null,"NSW","http://www.a2milk.com.au","Milk and cream processing","587006","2567","52125331213","NSW","1332","1131","2012/2013","The A2 Milk Company (Australia) Pty Ltd","Smeaton Grange","Milk and Cream Processing",150.755874,-34.031771,"28-34 Dunn Road","A2 MILK COMPANY (AUSTRALIA) PTY LTD"
9,null,"WA",null,"Hens for egg production.","544554","6532","63079437639","WA","WA0577","0172","2002/2003","Geraldton Golden Eggs","Moonyoonooka","Poultry Farming (Eggs)",114.751389,-28.780278,"Lot 1036 Geraldton-Mount Magnet Road","AAA EGG COMPANY PTY LTD"
6,null,"WA",null,"Chicken raising for meat production.","545400","6165","70008999255","WA","WA0655","0171","2002/2003","ABAROO PTY LTD","Hope Valley","Poultry Farming (Meat)",115.818611,-32.186111,"65 Ashley Road","ABAROO PTY LTD"
5,null,"QLD",null,"Irrigated Farming","558538","4486","27322166301","QLD","Q063ABA001","0143","2008/2009","Abarue Farm & Feedlot","Dirranbandi","Beef Cattle Feedlots (Specialised)",148.23,-28.58,"-","ABARUE PTY LTD"
19,"605852060","QLD","http://www.adani.com","Coal storage and loading of export ships","513342","4805","58605852060","QLD","Q080COL001","5212","1998/1999","ABBOT POINT OPERATIONS P/L","Merinda","Port and Water Transport Terminal Operations",148.081248,-19.899327,"VIA BRUCE HWY ABBOT POINT; NE OF","ABBOT POINT OPERATIONS P/L"
2,"000180389","NSW",null,"Pharmaceutical formulation, warehousing and administration","490554","2231","95000180389","NSW","534","1841","2000/2001","Abbott Australasia Pty Ltd","Kurnell","Human Pharmaceutical and Medicinal Product Manufacturing",151.217855,-34.03178,"Captain Cook Drive","ABBOTT AUSTRALASIA PTY LTD"
3,"005028099","VIC","http://www.abmflexibles.aust.com/","Flexible packaging manufacturing, printing and laminating","526150","3195","59005028099","VIC","00004205","1611","2001/2002","ABM PLASTICS (AUST) P/L","Braeside","Printing",145.115463,-37.989417,"56-67 TARNARD DR","ABM PLASTICS (AUST) P/L"
2,"009127020","NT","http://www.abmresources.com.au","Gold ore mining","614586","0872","58009127020","NT","NT531","0804","2014/2015","Twin Bonanza Gold Project","South Of Tanami Rd","Gold Ore Mining",129.158564,-20.191672,"33 km","ABM RESOURCES NL"
16,"079875184","QLD","http://www.accensi.com.au","Formulation of Agricultural Chemicals","507884","4504","94079875184","QLD","Q038ACC001","1832","1998/1999","Accensi Pty Ltd","Narangba","Pesticide Manufacturing",153.003572,-27.197025,"60-76 Potassium St","ACCENSI PTY LTD"
18,"008273907","SA","http://www.accolade-wines.com.au/","WINE PRODUCTION & PACKAGING","518928","5344","86008273907","SA","SA0308","1214","1999/2000","BERRI ESTATES LTD","Glossop","Wine and Other Alcoholic Beverage Manufacturing",140.543826,-34.281018,"STURT HWY","ACCOLADE WINES AUSTRALIA LIMITED"
15,"008273907","TAS","http://www.accolade-wines.com/","winemaking","522720","7252","86008273907","TAS","TAS 360","1214","2002/2003","Bay of Fires","Pipers River","Wine and Other Alcoholic Beverage Manufacturing",147.097807,-41.112219,"40 BAXTERS RD","ACCOLADE WINES AUSTRALIA LIMITED"
13,"008273907","SA","http://www.accolade-wines.com/","WINEMAKING AND PACKAGING","518946","5161","86008273907","SA","SA0309","1214","2000/2001","HARDYS REYNELLA WINERY","Reynella","Wine and Other Alcoholic Beverage Manufacturing",138.544694,-35.096043,"REYNELL RD","ACCOLADE WINES AUSTRALIA LIMITED"
16,"008273907","SA","http://www.accolade-wines.com/","WINEMAKING","516194","5171","86008273907","SA","SA0114","1214","2001/2002","Hardy's Tintara Winery","Mclaren Vale","Wine and Other Alcoholic Beverage Manufacturing",138.536389,-35.213333,"MAIN RD","ACCOLADE WINES AUSTRALIA LIMITED"
16,"008273907","WA","http://www.accolade-wines.com","winemaking","542880","6056","86008273907","WA","WA0411","1214","2001/2002","Houghton Winery","Middle Swan","Wine and Other Alcoholic Beverage Manufacturing",115.998158,-31.85383,"DALE RD","ACCOLADE WINES AUSTRALIA LIMITED"
12,null,"QLD",null,"Pig Farming","513040","4715","19998566345","QLD","Q064PBB001","0192","2001/2002","Bettafield Piggery","Biloela","Pig Farming",150.519444,-24.398333,"Gladstone Rd","BETTAFIELD PIGGERY PTY LTD"
16,"008273907","WA",null,"Winemaking","543442","6275","86008273907","WA","WA0473","1214","2001/2002","Nannup Winery","Nannup","Wine and Other Alcoholic Beverage Manufacturing",115.764136,-34.00408,"LOCATION 10460 VASSE HWY","ACCOLADE WINES AUSTRALIA LIMITED"
17,"008273907","NSW","http://www.accolade-wine.com","Winemaking activities and spirit processing (2), production and packaging. Scale > 30,000-100,000 T processed.","491262","2739","86008273907","NSW","582","1214","2000/2001","Stanley Wines Buronga","Buronga","Wine and Other Alcoholic Beverage Manufacturing",142.156857,-34.136001,"Silver City Highway","ACCOLADE WINES AUSTRALIA LIMITED"
14,"008273907","SA",null,"Wine making","520820","5453","86008273907","SA","SA0537","1214","2003/2004","Knappstein Wines","Clare","Wine and Other Alcoholic Beverage Manufacturing",138.608611,-33.829444,"2 Pioneer Ave","ACCOLADE WINES AUSTRALIA LIMTED"
14,"007982818","VIC","http://www.stonier.com.au","Grape growing and wine making.","535856","3916","11007982818","VIC","00023870","1214","2003/2004","Stonier Wines","Merricks","Wine and Other Alcoholic Beverage Manufacturing",145.06786,-38.391457,"2 THOMPSONS LA","ACCOLADE WINES FWP PTY LTD"
17,"010750839","QLD","http://www.acewaste.com.au","Incineration of Medical, Pharmaceutical and Quarantine waste incineration.","500562","4110","79010750839","QLD","Q015ACE001","2921","2000/2001","Ace Waste Pty Ltd","Willawong","Waste Treatment and Disposal Services",153.0095,-27.60158,"491 Gooderham Rd","ACE WASTE PTY LTD"
11,"010750839","VIC","http://www.acewaste.com.au","Incineration of medical, quarantine, Pharmaceutical and PIW waste","524810","3175","79010750839","VIC","00004069","2921","1999/2000","Dandenong","Dandenong","Waste Treatment and Disposal Services",145.192089,-38.022162,"64-68 ORDISH RD","ACE WASTE PTY LTD"
19,"004230326","SA",null,"MANUFACTURE OF GLASS CONTAINERS","515166","5008","94004230326","SA","SA0048","2010","1998/1999","ACI GLASS PACKAGING","West Croydon","Glass and Glass Product Manufacturing",138.5509638889,-34.8894333333,"617 - 625 PORT RD","ACI OPERATIONS PTY LTD"
6,"004230326","WA",null,"Manufacture of glass by combining and melting raw materials such as sand soda ash and recycled glass, and forming of glass into bottles and jars.","536626","6155","94004230326","WA","WA0002","2010","1998/1999","ACI Glass Packaging Canning Vale","Canning Vale","Glass and Glass Product Manufacturing",115.908611,-32.066667,"35 BAILE RD","ACI OPERATIONS PTY LTD"
19,"004230326","NSW",null,"Manufacture and supply of glass containers for beverages and food. Containers are produced in various colours including clear, amber and tints of green in capacities from 200mL to 1.5 L. Technologies include furnaces, forming, annealing, surface treatment, automatic product inspection and packaging.","486950","2749","94004230326","NSW","293","2010","1998/1999","O-I Sydney Plant (Owens Illinois)","Penrith","Glass and Glass Product Manufacturing",150.697822,-33.730021,"5 Andrews Road","ACI OPERATIONS PTY LTD"
17,"004230326","VIC","http://www.o-i.com","Manufacture of glass containers","526496","3015","94004230326","VIC","00004231","2010","2000/2001","OI Melbourne Plant","Spotswood","Glass and Glass Product Manufacturing",144.891109,-37.831506,"BOOKER ST","ACI OPERATIONS PTY LTD"
19,"004230326","QLD",null,"Glass Container Manufacture","498406","4101","94004230326","QLD","Q002ACI001","2010","1998/1999","Owens Illinois Brisbane","South Brisbane","Glass and Glass Product Manufacturing",153.011195,-27.472889,"137 Montague Rd","ACI OPERATIONS PTY LTD"
6,null,"SA","http://www.adelaideairport.com.au","Airport","520112","5950","78075176653","SA","SA0419","5220","2005/2006","Adelaide Airport Ltd","Adelaide Airport","Airport Operations and Other Air Transport Support Services",138.533333,-34.9475,"1  James Schofield Drive","ADELAIDE AIRPORT LTD"
15,"601696048","TAS","http://www.acl.com.au","Production of materials used in the manufacture of bearings and bushes for the automotive industry.","521506","7248","68601696048","TAS","TAS 200","2141","1998/1999","Mowbray Plant No.1","Mowbray","Non-Ferrous Metal Casting",147.131463,-41.401905,"310 INVERMAY RD","ACL BEARING COMPANY (AUSTRALIA) PTY LTD"
13,null,"SA","http://www.iwsgroup.com.au","Balefill","520272","5501","23043564833","SA","SA0457","2921","2003/2004","IWS Northern Balefill","Lower Light","Waste Treatment and Disposal Services",138.380704,-34.498313,"Port Wakefield Road","ACQUISTA INVESTMENTS PTY LTD & VEOLIA ENVIRONMENTAL SERVICES (AUSTRALIA) PTY LTD"
3,null,"ACT",null,"PRINCIPLE 500 BED HOSPITAL FOR THE ACT, INCLUDES PATHOLOGY LABORATORY. CLINICAL TEACHING SCHOOL FACILITY, MENTAL HEALTH FACILITIES","482970","2605","82049056234","ACT","ACT029","8401","2003/2004","THE CANBERRA HOSPITAL","Canberra","Hospitals (Except Psychiatric Hospitals)",149.101856,-35.346527,"BUILDING 1, LEVEL 1, YAMBA DRIVE, GARRAN","ACT HEALTH"
1,null,"ACT",null,"INCINERATION OF SEWAGE SLUDGE","483002","2615","86069881960","ACT","ACT032","2921","2002/2003","LOWER MOLONGLO WATER QUALITY CONTROL CENTRE - INCINERATOR","Holt","Waste Treatment and Disposal Services",148.974103,-35.246528,"STOCKDILL DRIVE","ACTEW CORPORATION LTD"
3,null,"ACT","http://www.actewagl.com.au","Incineration of sewage sludge","482744","2615","86069381960","ACT","ACT010","2921","1998/1999","LMWQCC - Incinerator","Holt","Waste Treatment and Disposal Services",148.97397,-35.248814,"Stockdill Drive","ACTEWAGL"
17,"069180258","SA",null,"MANUFACTURE & PACKAGING OF COPPER (II) OXIDE & BASIC COPPER (II) CARBONATE.","516452","5417","87069180258","SA","SA0134","1813","2000/2001","Adchem (Australia) Pty Ltd","Burra","Basic Inorganic Chemical Manufacturing",138.917215,-33.679725,"LINKSON ST","ADCHEM (AUSTRALIA) PTY. LTD."
18,"007870199","SA","http://www.adelaidebrighton.com.au","Cement and lime manufacturing","514886","5353","96007870199","SA","SA0029","2031","1999/2000","Angaston Special Products","Angaston","Cement and Lime Manufacturing",139.030833,-34.502222,"Stockwell Road","ADELAIDE BRIGHTON CEMENT LTD"
18,"007870199","SA","http://www.adbri.com.au","Cement manufacturing","514850","5015","96007870199","SA","SA0027","2031","1999/2000","Birkenhead Plant","Birkenhead","Cement and Lime Manufacturing",138.503458,-34.832912,"62 Elder Road","ADELAIDE BRIGHTON CEMENT LTD"
9,"007870199","SA","http://www.adbri.com.au/sustainability.html","Long term contained storage facility for cement kiln material and extraction of gypsum.","565926","5357","96007870199","SA","SA0565","2921","2008/2009","Blanchetown Quarry","Blanchetown","Waste Treatment and Disposal Services",139.6717,-34.3621,"Edson Rd","ADELAIDE BRIGHTON CEMENT LTD"
2,"007870199","VIC","http://www.adbri.com.au","Cement Manufacturing, including grinding and pyroprocessing of limestone, storage and despatch of portland and blended cements.","524908","3221","96007870199","VIC","00004076","2031","1999/2000","Geelong Cement","Fyansford","Cement and Lime Manufacturing",144.313052,-38.136902,"GEELONG CEMENT HYLAND ST","ADELAIDE BRIGHTON CEMENT LTD"
5,"007030757","TAS",null,"Bulk petroleum storage facility","522618","7250","50007030757","TAS","TAS 349","3321","1999/2000","Launceston Depot","Launceston","Petroleum Product Wholesaling",147.130715,-41.428361,"GLEADOW ST","ADVANCE PETROLEUM P/L"
1,"007870199","VIC","http://www.adbri.com.au","Limestone quarrying, blending & crushing for use in cement manufacturing.","527140","3221",null,"VIC","00004350","2031","1999/2000","Geelong Cement","Batesford","Cement and Lime Manufacturing",144.29226,-38.112995,"FYANSFORD-GHERINGHAP RD","ADELAIDE BRIGHTON CEMENT LTD"
18,"007870199","SA",null,"Mining Limestone","514868","5575","96007870199","SA","SA0028","0990","1999/2000","Klein Point Mine","Wool Bay","Other Non-Metallic Mineral Mining and Quarrying",137.770015,-34.96409,"Gulfview Road","ADELAIDE BRIGHTON CEMENT LTD"
17,"007870199","SA","http://www.adelaidebrighton.com.au/","Quarrying Operations","514800","5353","96007870199","SA","SA0024","0919","1999/2000","Penrice Quarry & Mineral","Angaston","Other Construction Material Mining",139.045296,-34.481683,"Penrice Road","ADELAIDE BRIGHTON CEMENT LTD"
8,null,"SA",null,"Healthcare facility","518460","5035","99367793956","SA","SA0274","8401","1999/2000","Ashford Hospital","Ashford","Hospitals (Except Psychiatric Hospitals)",138.576389,-34.948331,"55 ANZAC Highway","ADELAIDE COMMUNITY HEALTHCARE ALLIANCE"
12,"116256823","SA",null,"Gas exploration and production","515282","5277","43116256823","SA","SA0057","0700","1999/2000","Katnook Gas Plant","Penola","Oil and Gas Extraction",140.785,-37.453611,"Argyle Road","ADELAIDE ENERGY LIMITED"
13,"070525709","SA",null,"Surface coating, hot dip galvanising","519828","5094","12070525709","SA","SA0375","2293","2004/2005","Adelaide Galvanising Industries Pty Ltd","Cavan","Metal Coating and Finishing",138.596618,-34.826132,"6B Newcastle Crescent","ADELAIDE GALVANISING INDUSTRIES PTY LTD"
9,"603436184","SA","http://apfeedlot.com.au/","Cattle Feed Lot","520036","5501","42603436184","SA","SA0405","0143","2005/2006","Romadel","Lower Light","Beef Cattle Feedlots (Specialised)",138.397202,-34.501545,"Lot 68, Port Wakefield Road","ADELAIDE PLAINS FEEDLOT PTY LTD"
6,"135354513","SA","http://www.adelaideaqua.net.au/","Desalination plant.","593710","5160","30135354513","SA","SA0632","2811","2011/2012","Adelaide Desalination Plant","Lonsdale","Water Supply",138.48433,-35.096031,"16 Chrysler Road","ADELAIDEAQUA PTY LIMITED"
1,null,"NSW","http://www.adi-limited.com","Machining, plating, heat treatment of metal parts. Assembly and testing of sub assemblies and finished products for Defence and Commercial customers.","496116","2790","66008642751","NSW","960","1892","2003/2004","ADI Land-Ordnance Lithgow","Lithgow","Explosive Manufacturing",150.157569,-33.4865,"Methven Street","ADI LIMITED"
4,"103515037","WA","https://www.metalsx.com.au/","Shipment of copper concentrate","591370","6721","37103515037","WA","WA1330","5212","2011/2012","Aditya Birla Port Hedland Loading Operations","Port Hedland","Port and Water Transport Terminal Operations",118.58252,-20.313677,"Unit A/Lot 4269 Wilson Street","ADITYA BIRLA MINERALS LIMITED"
8,"006790816","VIC",null,"Manufacture of electrical cables","532322","3175","89006790816","VIC","00007055","2431","2002/2003","ADVANCE WIRE & CABLE","Dandenong South","Electric Cable and Wire Manufacturing",145.215785,-38.031536,"20-26 ABBOTTS RD","ADVANCE CABLES PTY LTD"
